12.0%,"Control Name",Media/Label,Asset(s),Answer,Notes
100%,"Acceptable Use Policy",,,,0
,"Acceptable Use Policy","Desktop or Laptop",TestingAsset,Yes,
,"Acceptable Use Policy","Laptop / sample Backup label",TestingAsset,Yes,
100%,"Access Logging",,,,1
,"Access Logging","Desktop or Laptop",TestingAsset,Yes,
,"Access Logging","Laptop / sample Backup label",TestingAsset,Yes,
100%,"Accounts Lock After Too Many Failed Logins",,,,0
,"Accounts Lock After Too Many Failed Logins","Desktop or Laptop",TestingAsset,Yes,
,"Accounts Lock After Too Many Failed Logins","Laptop / sample Backup label",TestingAsset,In_progress,
100%,"Activity Logging",,,,0
,"Activity Logging","Desktop or Laptop",TestingAsset,No,
,"Activity Logging","Laptop / sample Backup label",TestingAsset,No,
100%,"Anti-Malware Software",,,,0
,"Anti-Malware Software","Desktop or Laptop",TestingAsset,Na,
,"Anti-Malware Software","Laptop / sample Backup label",TestingAsset,Na,
100%,"Anti-virus Policy and Procedures",,,,0
,"Anti-virus Policy and Procedures","Desktop or Laptop",TestingAsset,In_progress,
,"Anti-virus Policy and Procedures","Laptop / sample Backup label",TestingAsset,In_progress,
100%,"Application Code Review",,,,0
,"Application Code Review","Desktop or Laptop",TestingAsset,No,
,"Application Code Review","Laptop / sample Backup label",TestingAsset,No,
100%,"Application or Data Partitioning",,,,0
,"Application or Data Partitioning","Desktop or Laptop",TestingAsset,Yes,
,"Application or Data Partitioning","Laptop / sample Backup label",TestingAsset,Yes,
100%,"Application Patching",,,,0
,"Application Patching","Desktop or Laptop",TestingAsset,In_progress,
,"Application Patching","Laptop / sample Backup label",TestingAsset,In_progress,
100%,"Application Penetration and Vulnerability Testing",,,,0
,"Application Penetration and Vulnerability Testing","Desktop or Laptop",TestingAsset,No,
,"Application Penetration and Vulnerability Testing","Laptop / sample Backup label",TestingAsset,No,
0%,"Application, Network, or System Penetration Testing",,,,0
,"Application, Network, or System Penetration Testing","Desktop or Laptop",TestingAsset,,
,"Application, Network, or System Penetration Testing","Laptop / sample Backup label",TestingAsset,,
0%,"Application, Network, or System Vulnerability Testing",,,,0
,"Application, Network, or System Vulnerability Testing","Desktop or Laptop",TestingAsset,,
,"Application, Network, or System Vulnerability Testing","Laptop / sample Backup label",TestingAsset,,
0%,"Authentication of Network Sessions (as Distinct From Users)",,,,0
,"Authentication of Network Sessions (as Distinct From Users)","Desktop or Laptop",TestingAsset,,
,"Authentication of Network Sessions (as Distinct From Users)","Laptop / sample Backup label",TestingAsset,,
0%,"Auto Logoff or Auto Screen Locking",,,,0
,"Auto Logoff or Auto Screen Locking","Desktop or Laptop",TestingAsset,,
,"Auto Logoff or Auto Screen Locking","Laptop / sample Backup label",TestingAsset,,
0%,"Backup Media Testing and Validation Policy and Procedures",,,,0
,"Backup Media Testing and Validation Policy and Procedures","Desktop or Laptop",TestingAsset,,
,"Backup Media Testing and Validation Policy and Procedures","Laptop / sample Backup label",TestingAsset,,
0%,"Capacity Planning",,,,0
,"Capacity Planning","Desktop or Laptop",TestingAsset,,
,"Capacity Planning","Laptop / sample Backup label",TestingAsset,,
0%,"Central Monitoring of Endpoint Protection Software",,,,0
,"Central Monitoring of Endpoint Protection Software","Desktop or Laptop",TestingAsset,,
,"Central Monitoring of Endpoint Protection Software","Laptop / sample Backup label",TestingAsset,,
0%,"Centralized Patch Management",,,,0
,"Centralized Patch Management","Desktop or Laptop",TestingAsset,,
,"Centralized Patch Management","Laptop / sample Backup label",TestingAsset,,
33%,"Change Control Processes",,,,0
,"Change Control Processes","Desktop or Laptop",TestingAsset,,
,"Change Control Processes","Laptop / sample Backup label",TestingAsset,,
,"Change Control Processes",Pager,"Pager Media",No,
0%,"Contingency Plans",,,,0
,"Contingency Plans","Desktop or Laptop",TestingAsset,,
,"Contingency Plans","Laptop / sample Backup label",TestingAsset,,
0%,"Contractual Agreements",,,,0
,"Contractual Agreements","Contractors / Consultants",TestingAsset,,
0%,"Controlled Access to Areas with Mobile Devices",,,,0
,"Controlled Access to Areas with Mobile Devices","Desktop or Laptop",TestingAsset,,
,"Controlled Access to Areas with Mobile Devices","Laptop / sample Backup label",TestingAsset,,
0%,"Controls Around User-installed Software",,,,0
,"Controls Around User-installed Software","Desktop or Laptop",TestingAsset,,
,"Controls Around User-installed Software","Laptop / sample Backup label",TestingAsset,,
0%,"Cross-functional Training",,,,0
,"Cross-functional Training","Desktop or Laptop",TestingAsset,,
,"Cross-functional Training","Laptop / sample Backup label",TestingAsset,,
0%,"Data Backup",,,,0
,"Data Backup","Desktop or Laptop",TestingAsset,,
,"Data Backup","Laptop / sample Backup label",TestingAsset,,
0%,"Data Input Validation",,,,0
,"Data Input Validation","Contractors / Consultants",TestingAsset,,
,"Data Input Validation","Desktop or Laptop",TestingAsset,,
,"Data Input Validation","Laptop / sample Backup label",TestingAsset,,
0%,"Data Loss Prevention Tools",,,,0
,"Data Loss Prevention Tools","Desktop or Laptop",TestingAsset,,
,"Data Loss Prevention Tools","Laptop / sample Backup label",TestingAsset,,
0%,"Data Retention Policy and Procedures",,,,0
,"Data Retention Policy and Procedures","Desktop or Laptop",TestingAsset,,
,"Data Retention Policy and Procedures","Laptop / sample Backup label",TestingAsset,,
50%,"Device Handling Policy and Procedures",,,,0
,"Device Handling Policy and Procedures","Laptop / sample Backup label",TestingAsset,,
,"Device Handling Policy and Procedures",Pager,"Pager Media",Yes,
100%,"Device Testing and Validation Policy and Procedures",,,,0
,"Device Testing and Validation Policy and Procedures",Pager,"Pager Media",Yes,
0%,"Documented Security Roles in the System Development Life Cycle",,,,0
,"Documented Security Roles in the System Development Life Cycle","Desktop or Laptop",TestingAsset,,
,"Documented Security Roles in the System Development Life Cycle","Laptop / sample Backup label",TestingAsset,,
0%,"Documented System Development Life Cycle",,,,0
,"Documented System Development Life Cycle","Desktop or Laptop",TestingAsset,,
,"Documented System Development Life Cycle","Laptop / sample Backup label",TestingAsset,,
33%,"Domain/Device Authentication",,,,0
,"Domain/Device Authentication","Desktop or Laptop",TestingAsset,,
,"Domain/Device Authentication","Laptop / sample Backup label",TestingAsset,,
,"Domain/Device Authentication",Pager,"Pager Media",In_progress,
0%,"Employee Supervision",,,,0
,"Employee Supervision","Desktop or Laptop",TestingAsset,,
,"Employee Supervision","Laptop / sample Backup label",TestingAsset,,
50%,"Encryption of Device",,,,0
,"Encryption of Device","Laptop / sample Backup label",TestingAsset,,
,"Encryption of Device",Pager,"Pager Media",Yes,
0%,"Encryption of Disks (Full Disk, File Based, etc.)",,,,0
,"Encryption of Disks (Full Disk, File Based, etc.)","Desktop or Laptop",TestingAsset,,
,"Encryption of Disks (Full Disk, File Based, etc.)","Laptop / sample Backup label",TestingAsset,,
0%,"Encryption of Network Traffic",,,,0
,"Encryption of Network Traffic","Desktop or Laptop",TestingAsset,,
,"Encryption of Network Traffic","Laptop / sample Backup label",TestingAsset,,
0%,"Endpoint Firewalls Enabled",,,,0
,"Endpoint Firewalls Enabled","Desktop or Laptop",TestingAsset,,
